Age,Gender,Grade Level,Attendance Rate,Study Hours,Preferred Study Method,Quiet Study Space,Internet Access,Primary Guardian,Guardian Education,Guardian Engagement,Library Usage,Library Materials Availability,Digital Resources Access,Teacher Support Hours ,Teacher Availability,Teaching Aids Access,Classroom Condition,Extracurricular Involvement,Extracurricular Activities,Extracurricular Impact,Mathematics,English,Physics,Chemistry,Biology,Geography,Lit-in-English,Government,Accounting,Commerce,Economics,Tutoring Support,Support Type
12,Female,SSS1,80,10,"Kinesthetic (e.g., hands-on activities)",Yes,No,Mother,Secondary education,Monthly,Rarely,Inadequate,Yes,8,Adequate,No,Fair,Yes,"Sports, Drama, Debate, Science Club",Agree,78,65,82,70,88,60,86,64,65,55,80,Yes,"After-school tutoring, Peer mentoring"
15,Female,SSS 2,50,10 hours,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Weekly,Daily,Adequate,No,5 hours,Adequate,Yes,Excellent,Yes,Drama,Strongly disagree,60,70,70,80,60,60,,,,,70,Yes,After-school tutoring
13,Female,SSS1,98%,80 hrs,Reading/Writing,Yes,"Yes, but unreliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Weekly,Rarely,Somewhat adequate,Yes,1 hr 30 mins,Somewhat adequate,No,Good,Yes,Music,Agree,74,84,80,82,85,90,60,62,70,65,89,Yes,After-school tutoring
16,Female,SSS 2,1,1,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,Secondary education,Weekly,Monthly,Somewhat adequate,Yes,1,Adequate,No,Fair,No,Drama,Agree,20,20,,,30,,20,20,,,20,Yes,Peer mentoring
16 years old,Female,SSS 2,100%,10 hours,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,20-25 hours week,Adequate,Yes,Excellent,Yes,Sports,Strongly disagree,93 over 100,87 out of 100,79 out of 100,85 out of 100,72 out of 100,69 out of 100,,,,,59 out of 100,Yes,After-school tutoring
16 years old,Female,SSS 2,100%,10 hours,Reading/Writing,No,"Yes, reliable",Both Father and Mother,Secondary education,Daily,Daily,Adequate,Yes,20-25 hours,Adequate,Yes,Excellent,Yes,"Drama, Sports, Music",Strongly disagree,85 out of 100,75 out of 100,76 out of 100,79 out of 100,75 out of 100,78 out of 100,,,,,68 out of 100,Yes,After-school tutoring
15,Female,SSS 3,70%,5Hours,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Rarely,Weekly,Inadequate,No,50Hours,Adequate,No,Fair,No,Sports,Strongly agree,80,75,60,55,60,80,,,,,,Yes,After-school tutoring
16,Male,SSS 2,90%,15,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,25 to 20,Adequate,Yes,Excellent,Yes,Music,Strongly disagree,86,71,61,90,67,68,,,,,57,Yes,After-school tutoring
18,Male,SSS 3,100,5Hours,Reading/Writing,Yes,"Yes, but unreliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Weekly,Weekly,Adequate,Yes,120Hours,Adequate,No,Good,Yes,Sports,Neutral,80,70,70,60,75,,,,,,,No,
15,Female,SSS 3,50,35 hours,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,No formal education,Daily,Daily,Adequate,Yes,34,Adequate,Yes,Good,Yes,Debate,Disagree,72,80,,,70,,,88,90,85,83,Yes,After-school tutoring
16,Female,SSS 3,100,5 hours,Reading/Writing,Yes,"Yes, but unreliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Weekly,Weekly,Adequate,Yes,120 hours,Somewhat adequate,No,Excellent,Yes,Music,Neutral,99,100,,,,,,,100,90,70,Yes,After-school tutoring
15,Male,SSS 2,70%,3Hours,Reading/Writing,Yes,"Yes, but unreliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Weekly,Weekly,Somewhat adequate,No,50Hours,Somewhat adequate,No,Good,Yes,Debate,Neutral,85,80,,,,,,,90,95,80,Yes,After-school tutoring
16,Female,SSS 2,90%,7Hours,"Auditory (e.g., lectures, discussions)",Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,40Hours,Adequate,No,Good,Yes,Drama,Neutral,90,80,75,80,75,,,,,,,Yes,After-school tutoring
14,Female,SSS 2,80%,5hours,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,Secondary education,Daily,Weekly,Adequate,No,10hours,Inadequate,No,Good,No,,Neutral,60,80,,,,,,,60,50,70,No,
14,Female,SSS1,90,2 hours,"Auditory (e.g., lectures, discussions)",Yes,"Yes, reliable",Mother,Secondary education,Daily,Never,Inadequate,Yes,1 hour,Adequate,No,Good,Yes,Fashion,Disagree,65,79,,,77,,60,88,,,64,Yes,After-school tutoring
13,Female,SSS1,95,3 hours,"Auditory (e.g., lectures, discussions)",Yes,"Yes, reliable",Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Somewhat adequate,Yes,1 hour,Adequate,Yes,Excellent,Yes,Music,Disagree,70,75,55,70,80,,,65,,40,60,Yes,After-school tutoring
13,Female,SSS1,98,24,Reading/Writing,Yes,"Yes, reliable",Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Weekly,Daily,Adequate,Yes,2 hours,Adequate,Yes,Excellent,Yes,Music,Disagree,60,74,70,77,90,,,77,,52,68,Yes,After-school tutoring
16,Female,SSS1,99,2 hours,Reading/Writing,Yes,"Yes, reliable",Mother,No formal education,Daily,Daily,Adequate,Yes,1 hour,Adequate,Yes,Good,Yes,Music,Disagree,60,50,,,60,,,65,,55,65,Yes,After-school tutoring
14,Female,SSS1,98,7,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Somewhat adequate,Yes,2 hours,Adequate,Yes,Excellent,Yes,Music,Disagree,60,65,50,55,75,,,65,,70,60,Yes,After-school tutoring
15,Female,SSS1,25,7hours,Reading/Writing,No,No,Both Father and Mother,No formal education,Rarely,Rarely,Somewhat adequate,No,1hour,Somewhat adequate,No,Poor,No,,Agree,50,45,50,55,60,50,40,60,45,50,70,Yes,After-school tutoring
15,Male,SSS 2,92,24-25 hours,"Auditory (e.g., lectures, discussions)",No,"Yes, reliable",Mother,Secondary education,Weekly,Weekly,Adequate,No,83%,Adequate,Yes,Excellent,Yes,Music,Strongly agree,96,82,76,80,73,71,,,,,,Yes,Peer mentoring
16,Male,SSS 2,90%,20 to 21,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,50,Adequate,Yes,Excellent,Yes,Music,Strongly disagree,90,85,72,91,85,71,,,,,45,Yes,After-school tutoring
16,Female,SSS 2,90,20 to 25,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,51,Adequate,Yes,Excellent,Yes,Sports,Strongly disagree,72,91,,,50,,92,90,,,72,Yes,After-school tutoring
14,Female,SSS 2,82,21,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,90%,Adequate,Yes,Excellent,Yes,Music,Strongly disagree,90,89,79,89,98,99,,,,,100,Yes,After-school tutoring
14,Male,SSS1,52,25,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,90%,Adequate,Yes,Excellent,Yes,Sports,Strongly disagree,92,65,82,91,32,16,,,,,52,Yes,After-school tutoring
15,Male,SSS1,51,48,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,53,Adequate,Yes,Excellent,Yes,Sports,Strongly disagree,85,35,,,89,,91,51,,,95,Yes,After-school tutoring
15,Male,SSS 3,80%,3hours,"Visual (e.g., charts, videos)",Yes,"Yes, reliable",Both Father and Mother,Secondary education,Weekly,Weekly,Adequate,Yes,2hours,Adequate,Yes,Good,Yes,Sports,Strongly disagree,67,72,65,88,56,42,,,,,44,Yes,After-school tutoring
14,Male,SSS1,95,20,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,60,Adequate,Yes,Excellent,Yes,Sports,Strongly disagree,70,80,,,40,,90,81,,,80,Yes,After-school tutoring
15,Female,SSS 2,90,20,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,75,Adequate,Yes,Excellent,Yes,Drama,Strongly disagree,69,90,,,75,,98,99,,,80,Yes,After-school tutoring
16,Male,SSS1,52,25,Reading/Writing,Yes,"Yes, reliable",Both Father and Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Daily,Daily,Adequate,Yes,90%,"Adequate, Somewhat adequate",Yes,Excellent,Yes,Sports,Strongly disagree,60,85,,,81,,85,92,,,85,Yes,After-school tutoring
16,Male,SSS 3,100,7 hrs,Reading/Writing,Yes,"Yes, reliable",Mother,"Higher education (Diploma, Bachelor's, Master's, etc.)",Weekly,Rarely,Somewhat adequate,No,1 hr,Somewhat adequate,No,Good,Yes,Sports,Neutral,99,78,,,,,,,,,,Yes,After-school tutoring
